|news_id|news_title|subtitle|text
0|3269792|Тизер-постер «Аладдина»: Выпустите джинна|Уилл Смит поделился первым постером нового фильма Гая Ричи.|['                Исполнитель роли джинна Уилл Смит опубликовал в соцсетях тизер-постер игрового ремейка мультфильма студии Disney «Аладдин». «Выпустите меня! Жду не дождусь, когда вы увидите меня в синем цвете», — написал актер.', '', 'Главные роли в фильме исполнили Мена Массуд и Наоми Скотт. «Аладдин» Гая Ричи — игровая версия классического мультфильма 1992 года. В нем рассказывалось об уличном воришке, которого близкий к султану черный маг Джафар нанял, чтобы украсть волшебную лампу. В ней заточен разговорчивый джинн, выполняющий желания. Анимационная лента собрала в прокате полмиллиарда долларов и получила две премии «Оскар».', '«Аладдин» выйдет в прокат 22 мая 2019 года.', '']
1|3269718|Создатели сериала «Ведьмак» выбрали актрис на роли Цири и Йеннифэр|Пополнился актерский состав экранизации романов Анджея Сапковского.|['Фрейя Аллан («В пустыне смерти») и Аня Чалотра («Жажда странствий») примут участие в съемках фэнтези-сериала «Ведьмак», экранизации приключенческих романов Анджея Сапковского. Актрисы сыграют Цири и Йеннифэр соответственно.', 'В сериале также снимутся Джоди Мэй («Игра престолов»), Бьерн Хлинур Харальдссон («Фортитьюд»), Адам Леви («Падение Ордена»), МайАнна Бёринг («Доктор Кто»), Мими Дивени («Мистер Селфридж») и Милли Брэйди («Последнее королевство»).', 'Фрейя Аллан / Фото: IMDb; Аня Чалотра / Фото: thestage.co.uk ', 'Генри Кавилл сыграет в проекте главную роль — Геральта из Ривии, охотника на монстров.', 'Над адаптацией романов Сапковского работает Лорен Шмидт, сценаристка сериалов «Западное крыло», «Сорвиголова» и «Частная практика». Она же выступает в качестве продюсера и шоураннера проекта Netflix.', 'Цири, также известная как Цирилла, в цикле Сапковского является королевой Цинтры и обладает длинным списком разнообразных титулов. В детстве она попала к Геральту, который воспитал девочку по правилам ведьмаков. Впоследствии выяснилось, что в ее жилах течет Старшая кровь, а ее ребенок может стать Мстителем и уничтожить знакомый мир.', 'Йеннифэр из Венгерберга — чародейка, возлюбленная Геральта и приемная мать Цири. Один из основных персонажей цикла, она постоянно принимала участие в приключениях ведьмака и неоднократно помогала Геральту.', 'В прошлом месяце в сети появилась информация, что создатели сериала хотят пригласить на роль Цири темнокожую или азиатскую актрису. Новость вызвала среди фанатов Сапковского всплеск негатива, после которого Шмидт пришлось временно оставить Twitter.', '«Ведьмак» — цикл книг в жанре темного фэнтези. Первый рассказ серии увидел свет в 1986 году, а последний роман вышел в 2013 году. Главным героем серии является Геральт из Ривии — ведьмак, охотник за монстрами, представляющими угрозу для жизни людей.', 'Романы Сапковского послужили основой для самых разных произведений. По мотивам «Ведьмака» были выпущены компьютерные и настольные игры, написаны комиксы, поставлена рок-опера. В 2001 году вышли полнометражный фильм и сериал «Ведьмак», где роль Геральта исполнил Михал Жебровский. Многие критики и поклонники книг Сапковского не приняли экранизацию.', 'Дата премьеры сериала пока не сообщается.', 'THR', '']
2|3269676|Дэйв Батиста готов отправиться вслед за Джеймсом Ганном в киновселенную DC|Выбор студии также одобрил режиссер первого «Отряда самоубийц».|['Дэйв Батиста с радостью ухватился за возможность вновь поработать с режиссером «Стражей Галактики» Джеймсом Ганном, которого Disney уволила из-за оскорбительных шуток 10-летней давности. Актер уже готов сняться в сиквеле «Отряда самоубийц», сценарий которого напишет Ганн. «Где подписаться?» — написал Батиста в Twitter в связи с новостью.', '', 'Where do I sign up! James Gunn Boards ‘Suicide Squad 2’ To Write And Possibly Direct — Deadline https://t.co/OwdDbAm1Ks', '20 июля Disney резко разорвала отношения с Ганном, когда несколько консервативно настроенных пользователей нашли в Twitter режиссера старые записи, где он шутит на тему сексуального насилия и педофилии. Подробнее о том, как развивалась история вокруг постановщика, КиноПоиск рассказывал здесь.', 'Батиста неустанно поддерживал Ганна и уже готовился оставить киновселенную Marvel, лишь бы больше не работать с Disney. «„Стражи“ без Джеймса Ганна — это не „Стражи“», — написал актер и признался, что сниматься в третьем фильме без Ганна будет неприятно.', 'Несмотря на скандал, многие голливудские студии были готовы сотрудничать с режиссером. В итоге Warner пригласила Ганна для работы над сценарием «Отряда самоубийц 2». Также он может занять режиссерское кресло картины, так как Гэвин О’Коннор, занимавший пост до этого, решил переключиться на фильм Torrance с Беном Аффлеком.', 'Дэвид Эйр, режиссер первого «Отряда самоубийц», считает, что студия сделала очень правильный выбор, пригласив в проект автора «Стражей Галактики».', '«Мне кажется, для студии это невероятно смелый и умный ход, — написал Эйр в Twitter. — Джеймс — идеальный кандидат».', '', 'I think it’s an incredibly brave and smart move by the studio. James is the right man for the job! https://t.co/KaVD3dQosR', 'Согласно источникам, новый «Отряд самоубийц» может стать не просто сиквелом, но полноценным перезапуском. При помощи Ганна, отмечают инсайдеры, студия хочет вдохнуть в команду суперзлодеев новую жизнь. Первый фильм показал в прокате неплохой результат (748 млн долларов при бюджете в 175 млн долларов), но обилие негативной критики заставило Warner искать направление для всей серии.', 'Дата премьеры «Отряда самоубийц 2» пока не сообщается.', 'Подписывайтесь на канал КиноПоиска в «Яндекс.Дзен», чтобы быть в курсе всех самых важных новостей из мира кино и сериалов.', '']
3|3269556|Трейлер «Кладбища домашних животных»: Не тревожьте мертвых|Экранизация романа Стивена Кинга ожидается в кинотеатрах в 2019 году.|['                Доктор Луис Крид (Джейсон Кларк) вместе с женой и двумя детьми переезжает из Чикаго в маленький городок Ладлоу в штате Мэн. Там он быстро узнает о странном кладбище, где местные дети хоронят своих домашних животных. С этим местом связаны странные истории, и Крида предупреждают, что не стоит туда лишний раз ходить.', 'В скором времени случается горе: под колесами грузовика гибнет домашний кот Черч. Дети безутешны, и сосед Крида, доброжелательный Джад Крендалл (Джон Литгоу), советует ему все-таки отнести животное на старое кладбище. По легенде, если закопать там кого-либо, то он вскоре вернется живым. И вскоре питомец действительно возвращается, но не таким, каким был, а явно жутким и озлобленным.', 'Дублированный трейлер:', '', 'Оригинальный трейлер:', '', 'Первый постер:', '«Кладбище домашних животных» — один из самых популярных романов Стивена Кинга. Идея для книги пришла писателю после похорон домашнего кота Смаки. Однако Кинг посчитал произведение настолько жутким, что поначалу отказался публиковать его, но в 1983 году роман все-таки оказался на прилавках книжных магазинов.', 'Российская премьера «Кладбища домашних животных» состоится 4 апреля 2019 года.                              ']
4|3269553|Сценаристы «Лета» напишут третий сезон «Германии 83» для Amazon|Михаил и Лили Идовы присоединились к сценаристам проекта про разведчиков из ГДР.|['Михаил Идов и Лили Идова — сценаристы, известные по сериалу «Оптимисты» и фильму Кирилла Серебренникова «Лето» — вошли в состав авторской команды сериала «Германия 89». Об этом Михаил Идов рассказал КиноПоиску.', 'Действие третьего сезона сериала «Германия 83» развивается спустя три года после второго сезона, который называется «Германия 86», и будет показан подписчикам сервиса Amazon Prime уже 19 октября.', 'Главный герой, молодой сотрудник разведки ГДР, отправляется шпионить в ФРГ, но из-за ряда ошибок оказывается сослан в Африку. Там частично разворачивается действие второго сезона. Затем герой снова оказывается в разделенном Берлине, но куда его занесет в 1989 году, пока не сообщается.', 'Михаил Идов так прокомментировал эту новость для КиноПоиска: «Если вы англоязычный телесценарист в Берлине, то Deutchland 83 — это в самом буквальном смысле лучшая работа в городе, и мы безумно горды оказаться в его авторской команде. В первую очередь, нам кажется, это произошло из-за сериала „Оптимисты“ и нашей работы над ним. Без него ничего бы не было».', 'Сценарий сериала пишется изначально на английском языке, а потом уже переводится на немецкий, на котором и снимается проект.', '']
5|3269551|Netflix выпустит политический триллер Стивена Содерберга|Одну из главных ролей в картине сыграет звезда «Друзей» Дэвид Швиммер.|['                Netflix получил права на политический триллер Стивена Содерберга «Прачечная». Гари Олдман, Дэвид Швиммер, Антонио Бандерас и Мэрил Стрип сыграют в фильме главные роли. Сценарий картины, основанный на книге Джона Бернстайна «Мир секретности: Панамские расследования незаконных денежных сетей мировой элиты», написал Скотт З. Бёрнс.', 'Лента расскажет о «Панамском досье», также известном как «Панамские документы» или «Панамский архив» — массовой утечке конфиденциальных документов панамской юридической компании Mossack Fonseca.', 'Благодаря утечке в распоряжении журналистов оказалось 2,6 терабайта документов, содержащих информацию об офшорных счетах множества нынешних и бывших мировых лидеров, высокопоставленных чиновников и известных людей.', 'Швиммер исполнит роль адвоката Мэттью Квика, чье дело, связанное с гибелью пассажиров лодочной компании, помогает в конечном итоге обнаружить сеть компаний-пустышек и выйти на Mossack Fonseca.', 'Параллельно с проектом Содерберга Netflix разрабатывает собственную картину о «Панамском досье» на основе книги немецких журналистов Фредерика Обермайера и Бастьена Обермайера.', 'Кроме «Прачечной». стрим-сервис ранее выкупил права на спортивную драму Содерберга «Птица высокого полета», в которой снялись Андре Холланд («Касл-Рок»), Зази Битц («Дэдпул 2»), Закари Куинто («Звездный путь») и Кайл МакЛоклен («Твин Пикс»).', 'Deadline', '']
6|3269519|У жителя Индии выявили зависимость от Netflix|Стрим-сервис помогает взрослым справиться со стрессом, считает психолог.|['                Национальный институт психического здоровья и неврологии Индии принял пациента, который страдает от так называемой зависимости от Netflix. Как передает USA Today, мужчина лег на лечение в клинику, когда выяснил, что тратит на просмотр стрим-сервиса по семь часов в день.', 'Психолог института Манож Куман Шарма считает, что пациент смотрел Netflix, пытаясь сбежать от семейных проблем и справиться с шестимесячной безработицей. Просмотр сериалов и фильмов приносил ему огромное удовольствие, но в результате он страдал от перенапряжения глаз, усталости и нарушения сна.', 'В качестве лечения пациенту прописали пятиминутные дыхательные упражнения, которые призваны помочь избавиться от стресса.', 'Зависимость от Netflix — первый подобный случай в мировой практике. До этого Всемирная организация здравоохранения признала психическим расстройством зависимость от видеоигр.', '«Пока молодое поколение от 8 до 14 лет предпочитает игры, приложения вроде Netflix привлекают взрослых, которые находят в контенте эмоциональное удовлетворение, так как они постоянно находятся в состоянии стресса», — заметил психолог.', 'Американская компании Sandvine, занимающаяся управлением пропускной способностью в интернете, назвала Netflix самым большим пожирателем данных в мире с 15% всего интернет-трафика. Пользователь стрим-сервиса в среднем смотрит по 50 минут контента Netflix в день.', 'USA Today']
7|3269281|Съемки сиквела «Войны миров Z» стартуют летом 2019-го|Ожидается, что Дэвид Финчер все-таки поставит продолжение зомби-триллера.|['                Продюсеры Деде Гарднер и Джереми Клейнер, представляя драму «Красивый мальчик», рассказали журналисту Variety о состоянии «Войны миров Z 2». По их словам, проект сиквела все еще существует, и создатели планируют приступить к съемкам летом 2019 года.', '«Мы начнем съемки в июне, — говорит Гарднер. — Что еще вы хотите знать? Брэд Питт вновь сыграет Джерри Лэйна. Он вернулся. Дэвид Финчер поставит картину».', '', '#BeautifulBoy producers Dede Gardner and Jeremy Kleiner give a #WorldWarZ sequel update https://t.co/uCeXloik7j pic.twitter.com/JMAAIH6xWo', 'Продолжение «Войны миров Z» регулярно сталкивается с неприятностями. Сиквел запустили в производство в 2013 году, и изначально режиссерское кресло должен был занять Хуан Антонио Байона, но в итоге постановщик перешел к Universal, где снял «Мир Юрского периода 2». В августе 2016-го Питт попытался привлечь к работе над сиквелом Финчера, но тогда переговоры с ним зашли в тупик.', 'Долгое время сиквел зомби-триллера находился в подвешенном состоянии, и было непонятно, увидит он в конечном итоге свет или нет. Судя по всему, продюсеры намерены во что бы то ни стало довести проект до завершения.', 'Многие эксперты полагали, что оригинальная «Война миров Z» станет для студии Paramount провалом, учитывая трудности, с которыми столкнулась съемочная группа. Конфликт режиссера Марка Форстера с Питтом, превышение бюджета, полная переделка финала — все это не предвещало картине успеха. Экранизация романа Макса Брукса, тем не менее, заработала в прокате 540 млн долларов при заявленном бюджете в 190 млн долларов. Источники утверждают, что реальные затраты на производство картины составили 350 млн долларов, что делает ленту гораздо менее успешной.', 'Дата премьеры «Войны миров Z 2» пока не сообщается.', 'Подписывайтесь на канал КиноПоиска в Telegram, чтобы быть в курсе всех самых важных новостей из мира кино и сериалов.', '']
8|3269153|Драма о сексуальных домогательствах в Fox News лишилась прокатчика|Судьба картины оказалась под вопросом за несколько дней до начала съемок.|['                Биографическая картина о Роджере Айлсе, печально известном основателе телесети Fox News, неожиданно лишилась дистрибьютора. Кинокомпания Annapurna Pictures отказалась от проекта. Точные причины не называются, но, согласно источникам, решение связано с бюджетом, который оценивается в районе 35 млн долларов.', 'Отказ от картины об Айлсе, вероятно, также имеет отношение к изменениям внутри Annapurna. Челси Бернард, занимавшая пост главы киноподразделения и курировавшая производство проекта, оставила компанию без объяснения причин.', 'Джей Роуч («Трамбо») планировал поставить картину по сценарию Чарльза Рэндольфа («Игра на понижение»). Главную роль в безымянном проекте должен был сыграть Джон Литгоу, а актерский состав включал в себя Николь Кидман, Шарлиз Терон, Марго Робби и Наоми Уоттс. Несколькими днями ранее стало известно, что Малкольм МакДауэлл исполнит роль главы конгломерата Fox Руперта Мердока.', 'Вплоть до июля 2016 года Айлс занимал пост главы Fox News и Fox Television Stations, но впоследствии был вынужден покинуть пост в связи с обвинениями в сексуальных домогательствах. До этого он работал консультантом по медиа при Ричарде Никсоне, Рональде Рейгане и Джордже Буше-старшем.', 'По данным источников, вместо Annapurna ленту могут подхватить Focus Features, Amblin или Participant Media.', 'THR / Variety']
9|3269152|Дуэйн Джонсон сыграет героя американского фольклора|Актер вновь поработает с режиссером ленты «Джуманджи: Зов джунглей».|['Дуэйн Джонсон снимется в приключенческой картине «Джон Генри» (John Henry and the Statesmen), где сыграет одного из самых известных персонажей современной американской мифологии. Джейк Кэздан («Джуманджи: Зов джунглей») поставит фильм по оригинальному сценарию Тома Вилера («ЛЕГО Ниндзяго Фильм»).', 'Стрим-сервис Netflix профинансирует производство проекта.', 'Джон Генри — фольклорный герой США, работавший прокладчиком путей. Когда владельцы железной дороги решили использовать вместо людей паровой молот, Генри вызвался на состязание с машиной — кто проложит больше рельсов. В итоге он одержал победу, но погиб от истощения.', 'Легенда о противостоянии человека и машины зародилась в XIX веке, в годы активного развития железнодорожных путей. Неизвестно, существовал ли настоящий Джон Генри и проводилось ли когда-либо подобное состязание, но впоследствии эта история неоднократно появлялась в песнях и мультфильмах.', 'Джонсон сыграет Генри, который встанет во главе команды разных фольклорных персонажей, американских и не только.', 'В связи с объявлением о запуске проекта актер даже выпустил небольшой тизер под музыку Джонни Кэша.', '', 'When the man comes around. Honored to play a childhood hero of mine, JOHN HENRY & his disruptive band of fellow folklore legends from around the world. @netflix are the perfect partners and platform to build. Directed by Jake Kasdan (JUMANJI). JOHN HENRY & THE STATESMEN 🌎🔨 pic.twitter.com/vJ0nkCYXDH', 'Джонсон не только сыграет главную роль, но и спродюсирует проект совместно с Кэзданом.', 'Недавно актер завершил съемки в диснеевской картине «Круиз по джунглям» и сейчас занят на съемочной площадке боевика «Хоббс и Шоу».', 'Кэздан работает над продолжением «Джуманджи», которое должно увидеть свет в декабре 2019 года, а Вилер занят в качестве шоураннера сериала Netflix «Проклятая», экранизации одноименного иллюстрированного романа.', 'THR']
